round_num,grand_prix,constructor,driver,lap,position,tyre_compound,tyre_life,sector_1_time,sector_2_time,sector_3_time,lap_time
1,Australian Grand Prix,Red Bull Racing,VER,14,6,HARD,14,31.326,18.104,36.7,86.13
1,Australian Grand Prix,Red Bull Racing,VER,15,6,HARD,15,29.618,17.939,36.541,84.098
1,Australian Grand Prix,Red Bull Racing,VER,16,6,HARD,16,29.522,18.04,37.044,84.606
1,Australian Grand Prix,Red Bull Racing,VER,17,6,HARD,17,29.737,17.967,37.053,84.757
1,Australian Grand Prix,Red Bull Racing,VER,18,7,HARD,18,30.11,17.724,60.713,108.547
1,Australian Grand Prix,Red Bull Racing,VER,19,7,MEDIUM,1,42.485,26.161,47.703,116.349
1,Australian Grand Prix,Red Bull Racing,VER,20,6,MEDIUM,2,29.779,17.769,36.018,83.566
1,Australian Grand Prix,Red Bull Racing,VER,21,6,MEDIUM,3,29.143,18.11,36.283,83.536
1,Australian Grand Prix,Red Bull Racing,VER,22,6,MEDIUM,4,29.148,17.987,36.323,83.458
1,Australian Grand Prix,Red Bull Racing,VER,23,6,MEDIUM,5,29.193,18.022,36.301,83.516
1,Australian Grand Prix,Red Bull Racing,VER,24,6,MEDIUM,6,29.331,17.986,36.155,83.472
1,Australian Grand Prix,Red Bull Racing,VER,25,6,MEDIUM,7,29.364,17.93,36.26,83.554
1,Australian Grand Prix,Red Bull Racing,VER,26,6,MEDIUM,8,29.297,17.886,36.18,83.363
1,Australian Grand Prix,Red Bull Racing,VER,27,6,MEDIUM,9,29.355,17.915,36.47,83.74
1,Australian Grand Prix,Red Bull Racing,VER,28,6,MEDIUM,10,29.351,17.958,36.154,83.463
1,Australian Grand Prix,Red Bull Racing,VER,29,6,MEDIUM,11,29.24,17.886,36.313,83.439
1,Australian Grand Prix,Red Bull Racing,VER,30,6,MEDIUM,12,29.256,17.871,36.263,83.39
1,Australian Grand Prix,Red Bull Racing,VER,31,6,MEDIUM,13,29.324,17.844,36.342,83.51
1,Australian Grand Prix,Red Bull Racing,VER,32,6,MEDIUM,14,29.193,17.877,36.517,83.587
1,Australian Grand Prix,Red Bull Racing,VER,33,6,MEDIUM,15,29.526,17.854,36.55,83.93
1,Australian Grand Prix,Red Bull Racing,VER,34,5,MEDIUM,16,39.424,22.416,36.376,98.216
1,Australian Grand Prix,Red Bull Racing,VER,35,5,MEDIUM,17,29.456,18.087,37.013,84.556
1,Australian Grand Prix,Red Bull Racing,VER,36,5,MEDIUM,18,29.51,18.177,36.28,83.967
1,Australian Grand Prix,Red Bull Racing,VER,37,5,MEDIUM,19,29.34,18.18,36.155,83.675
1,Australian Grand Prix,Red Bull Racing,VER,38,5,MEDIUM,20,29.242,18.212,36.458,83.912
1,Australian Grand Prix,Red Bull Racing,VER,39,5,MEDIUM,21,29.316,18.034,36.365,83.715
1,Australian Grand Prix,Red Bull Racing,VER,40,5,MEDIUM,22,29.579,17.878,37.138,84.595
1,Australian Grand Prix,Red Bull Racing,VER,41,5,MEDIUM,23,29.633,17.899,51.334,98.866
1,Australian Grand Prix,Red Bull Racing,VER,42,6,HARD,1,34.309,17.942,35.74,87.991
1,Australian Grand Prix,Red Bull Racing,VER,43,6,HARD,2,28.823,17.616,35.652,82.091
1,Australian Grand Prix,Red Bull Racing,VER,44,6,HARD,3,28.919,17.767,35.834,82.52
1,Australian Grand Prix,Red Bull Racing,VER,45,6,HARD,4,28.859,17.681,35.913,82.453
1,Australian Grand Prix,Red Bull Racing,VER,46,6,HARD,5,29.22,17.664,35.926,82.81
1,Australian Grand Prix,Red Bull Racing,VER,47,6,HARD,6,28.873,17.603,36.013,82.489
1,Australian Grand Prix,Red Bull Racing,VER,48,6,HARD,7,29.093,17.536,36.277,82.906
1,Australian Grand Prix,Red Bull Racing,VER,49,6,HARD,8,29.15,17.584,36.205,82.939
1,Australian Grand Prix,Red Bull Racing,VER,50,6,HARD,9,29.125,17.654,35.959,82.738
1,Australian Grand Prix,Red Bull Racing,VER,51,6,HARD,10,29.042,17.676,35.972,82.69
1,Australian Grand Prix,Red Bull Racing,VER,52,6,HARD,11,28.971,17.606,36.106,82.683
1,Australian Grand Prix,Red Bull Racing,VER,53,6,HARD,12,29.115,17.894,36.1,83.109
1,Australian Grand Prix,Red Bull Racing,VER,54,6,HARD,13,29.024,17.803,36.263,83.09
1,Australian Grand Prix,Red Bull Racing,VER,55,6,HARD,14,29.154,17.844,36.213,83.211
1,Australian Grand Prix,Red Bull Racing,VER,56,6,HARD,15,29.051,17.734,36.324,83.109
1,Australian Grand Prix,Red Bull Racing,VER,57,6,HARD,16,29.153,17.83,36.486,83.469
1,Australian Grand Prix,Red Bull Racing,VER,58,6,HARD,17,29.247,17.832,36.454,83.533
1,Australian Grand Prix,Racing Bulls,LAW,1,18,MEDIUM,1,,19.28,39.431,102.188
