round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Mercedes,HAM,9,9,98.645
1,Bahrain,Racing Bulls,TSU,9,10,98.554
1,Bahrain,Williams,ALB,9,11,98.652
1,Bahrain,Haas,MAG,9,12,98.861
1,Bahrain,Williams,SAR,9,13,99.366
1,Bahrain,Racing Bulls,RIC,9,14,99.338
1,Bahrain,Alpine,OCO,9,15,99.312
1,Bahrain,Kick Sauber,ZHO,9,16,101.849
1,Bahrain,Alpine,GAS,9,17,99.452
1,Bahrain,Kick Sauber,BOT,9,18,99.425
1,Bahrain,Aston Martin,STR,9,19,102.112
1,Bahrain,Haas,HUL,9,20,97.883
1,Bahrain,Red Bull,VER,18,1,117.854
1,Bahrain,Red Bull,PER,18,2,96.311
1,Bahrain,Ferrari,SAI,18,3,96.088
1,Bahrain,Mercedes,RUS,18,4,97.819
1,Bahrain,Ferrari,LEC,18,5,97.438
1,Bahrain,McLaren,NOR,18,6,96.508
1,Bahrain,McLaren,PIA,18,7,97.095
1,Bahrain,Mercedes,HAM,18,8,96.85
1,Bahrain,Aston Martin,ALO,18,9,97.361
1,Bahrain,Kick Sauber,ZHO,18,10,97.552
1,Bahrain,Racing Bulls,TSU,18,11,97.359
1,Bahrain,Aston Martin,STR,18,12,97.417
1,Bahrain,Haas,MAG,18,13,97.583
1,Bahrain,Williams,ALB,18,14,97.59
1,Bahrain,Alpine,OCO,18,15,98.12
1,Bahrain,Racing Bulls,RIC,18,16,97.7
1,Bahrain,Haas,HUL,18,17,98.216
1,Bahrain,Kick Sauber,BOT,18,18,97.918
1,Bahrain,Alpine,GAS,18,19,97.791
1,Bahrain,Williams,SAR,18,20,98.077
1,Bahrain,Red Bull,VER,1,1,97.284
1,Bahrain,Ferrari,LEC,1,2,98.271
1,Bahrain,Mercedes,RUS,1,3,99.228
1,Bahrain,Red Bull,PER,1,4,100.053
1,Bahrain,Ferrari,SAI,1,5,100.62
1,Bahrain,Aston Martin,ALO,1,6,101.679
1,Bahrain,McLaren,NOR,1,7,102.168
1,Bahrain,McLaren,PIA,1,8,102.523
1,Bahrain,Mercedes,HAM,1,9,103.122
1,Bahrain,Racing Bulls,TSU,1,10,103.485
1,Bahrain,Williams,ALB,1,11,103.888
1,Bahrain,Haas,MAG,1,12,104.349
1,Bahrain,Kick Sauber,ZHO,1,13,104.801
1,Bahrain,Racing Bulls,RIC,1,14,105.668
1,Bahrain,Williams,SAR,1,15,105.921
1,Bahrain,Alpine,OCO,1,16,106.657
1,Bahrain,Alpine,GAS,1,17,107.24
1,Bahrain,Kick Sauber,BOT,1,18,108.536
1,Bahrain,Aston Martin,STR,1,19,110.214
1,Bahrain,Haas,HUL,1,20,113.555
1,Bahrain,Red Bull,VER,5,1,97.173
1,Bahrain,Mercedes,RUS,5,2,98.116
1,Bahrain,Ferrari,LEC,5,3,98.131
1,Bahrain,Red Bull,PER,5,4,98.044
1,Bahrain,Ferrari,SAI,5,5,98.032
1,Bahrain,McLaren,NOR,5,6,97.794
1,Bahrain,McLaren,PIA,5,7,97.859
1,Bahrain,Aston Martin,ALO,5,8,99.292
1,Bahrain,Mercedes,HAM,5,9,98.35
1,Bahrain,Racing Bulls,TSU,5,10,98.321
1,Bahrain,Williams,ALB,5,11,98.509
1,Bahrain,Haas,MAG,5,12,98.576
1,Bahrain,Kick Sauber,ZHO,5,13,98.798
1,Bahrain,Williams,SAR,5,14,98.757
1,Bahrain,Racing Bulls,RIC,5,15,98.704
1,Bahrain,Alpine,OCO,5,16,98.64
1,Bahrain,Alpine,GAS,5,17,98.664
1,Bahrain,Aston Martin,STR,5,18,98.725
1,Bahrain,Kick Sauber,BOT,5,19,100.087
1,Bahrain,Haas,HUL,5,20,97.663
1,Bahrain,Red Bull,VER,2,1,96.296
1,Bahrain,Ferrari,LEC,2,2,96.862
1,Bahrain,Mercedes,RUS,2,3,96.635
1,Bahrain,Red Bull,PER,2,4,96.541
1,Bahrain,Ferrari,SAI,2,5,97.236
1,Bahrain,Aston Martin,ALO,2,6,98.02
1,Bahrain,McLaren,NOR,2,7,98.01
1,Bahrain,McLaren,PIA,2,8,98.382
1,Bahrain,Mercedes,HAM,2,9,98.273
1,Bahrain,Racing Bulls,TSU,2,10,98.689
1,Bahrain,Williams,ALB,2,11,98.826
1,Bahrain,Haas,MAG,2,12,98.911
1,Bahrain,Kick Sauber,ZHO,2,13,98.92
1,Bahrain,Williams,SAR,2,14,98.481
1,Bahrain,Racing Bulls,RIC,2,15,99.509
1,Bahrain,Alpine,OCO,2,16,99.094
1,Bahrain,Alpine,GAS,2,17,99.059
1,Bahrain,Kick Sauber,BOT,2,18,98.259
1,Bahrain,Aston Martin,STR,2,19,97.987
1,Bahrain,Haas,HUL,2,20,130.911
1,Bahrain,Red Bull,VER,13,1,97.03
1,Bahrain,Ferrari,SAI,13,2,97.243
1,Bahrain,McLaren,NOR,13,3,100.635
1,Bahrain,Aston Martin,ALO,13,4,98.587
1,Bahrain,Racing Bulls,TSU,13,5,98.86
1,Bahrain,Williams,ALB,13,6,98.823
1,Bahrain,Mercedes,RUS,13,7,97.167
1,Bahrain,Red Bull,PER,13,8,117.624
1,Bahrain,Ferrari,LEC,13,9,96.432
1,Bahrain,Racing Bulls,RIC,13,10,102.173
1,Bahrain,McLaren,PIA,13,11,118.689
1,Bahrain,Mercedes,HAM,13,12,118.645
1,Bahrain,Kick Sauber,ZHO,13,13,97.436
1,Bahrain,Aston Martin,STR,13,14,97.289
1,Bahrain,Haas,MAG,13,15,96.89
1,Bahrain,Alpine,OCO,13,16,97.363
1,Bahrain,Haas,HUL,13,17,97.801
1,Bahrain,Alpine,GAS,13,18,124.565
1,Bahrain,Kick Sauber,BOT,13,19,121.081
1,Bahrain,Williams,SAR,13,20,100.989
1,Bahrain,Red Bull,VER,8,1,97.024
1,Bahrain,Mercedes,RUS,8,2,97.862
1,Bahrain,Red Bull,PER,8,3,97.838
1,Bahrain,Ferrari,LEC,8,4,98.136
