round,grand_prix,constructor,driver,lap,position,time
2,Saudi Arabia,Mercedes,HAM,8,3,173.631
2,Saudi Arabia,Red Bull,PER,8,4,187.369
2,Saudi Arabia,Ferrari,LEC,8,5,186.406
2,Saudi Arabia,McLaren,PIA,8,6,184.373
2,Saudi Arabia,Aston Martin,ALO,8,7,185.292
2,Saudi Arabia,Haas,HUL,8,8,170.478
2,Saudi Arabia,Mercedes,RUS,8,9,183.576
2,Saudi Arabia,Kick Sauber,ZHO,8,10,166.499
2,Saudi Arabia,Racing Bulls,TSU,8,11,179.562
2,Saudi Arabia,Ferrari,BEA,8,12,179.588
2,Saudi Arabia,Haas,MAG,8,13,180.027
2,Saudi Arabia,Williams,ALB,8,14,179.983
2,Saudi Arabia,Alpine,OCO,8,15,176.368
2,Saudi Arabia,Kick Sauber,BOT,8,16,177.332
2,Saudi Arabia,Williams,SAR,8,17,177.288
2,Saudi Arabia,Racing Bulls,RIC,8,18,193.712
2,Saudi Arabia,Red Bull,VER,2,1,94.205
2,Saudi Arabia,Ferrari,LEC,2,2,94.179
2,Saudi Arabia,Red Bull,PER,2,3,94.515
2,Saudi Arabia,McLaren,PIA,2,4,95.082
2,Saudi Arabia,Aston Martin,ALO,2,5,95.724
2,Saudi Arabia,McLaren,NOR,2,6,95.246
2,Saudi Arabia,Mercedes,RUS,2,7,95.146
2,Saudi Arabia,Mercedes,HAM,2,8,95.541
2,Saudi Arabia,Aston Martin,STR,2,9,96.094
2,Saudi Arabia,Racing Bulls,TSU,2,10,96.873
2,Saudi Arabia,Ferrari,BEA,2,11,97.415
2,Saudi Arabia,Haas,MAG,2,12,97.522
2,Saudi Arabia,Williams,ALB,2,13,97.553
2,Saudi Arabia,Haas,HUL,2,14,97.836
2,Saudi Arabia,Racing Bulls,RIC,2,15,98.035
2,Saudi Arabia,Alpine,OCO,2,16,98.482
2,Saudi Arabia,Kick Sauber,BOT,2,17,98.474
2,Saudi Arabia,Williams,SAR,2,18,98.418
2,Saudi Arabia,Kick Sauber,ZHO,2,19,98.539
2,Saudi Arabia,Red Bull,VER,43,1,93.123
2,Saudi Arabia,Red Bull,PER,43,2,92.392
2,Saudi Arabia,Ferrari,LEC,43,3,92.556
2,Saudi Arabia,McLaren,PIA,43,4,92.521
2,Saudi Arabia,Aston Martin,ALO,43,5,92.387
2,Saudi Arabia,Mercedes,RUS,43,6,92.499
2,Saudi Arabia,Ferrari,BEA,43,7,92.672
2,Saudi Arabia,McLaren,NOR,43,8,92.399
2,Saudi Arabia,Mercedes,HAM,43,9,92.041
2,Saudi Arabia,Haas,HUL,43,10,92.752
2,Saudi Arabia,Haas,MAG,43,11,92.902
2,Saudi Arabia,Williams,ALB,43,12,92.994
2,Saudi Arabia,Alpine,OCO,43,13,94.59
2,Saudi Arabia,Racing Bulls,TSU,43,14,93.767
2,Saudi Arabia,Williams,SAR,43,15,93.766
2,Saudi Arabia,Racing Bulls,RIC,43,16,93.705
2,Saudi Arabia,Kick Sauber,BOT,43,17,93.068
2,Saudi Arabia,Kick Sauber,ZHO,43,18,93.047
2,Saudi Arabia,Red Bull,VER,4,1,93.754
2,Saudi Arabia,Red Bull,PER,4,2,94.046
2,Saudi Arabia,Ferrari,LEC,4,3,95.213
2,Saudi Arabia,McLaren,PIA,4,4,94.589
2,Saudi Arabia,Aston Martin,ALO,4,5,94.746
2,Saudi Arabia,McLaren,NOR,4,6,94.897
2,Saudi Arabia,Mercedes,RUS,4,7,95.033
2,Saudi Arabia,Mercedes,HAM,4,8,95.672
2,Saudi Arabia,Aston Martin,STR,4,9,95.735
2,Saudi Arabia,Racing Bulls,TSU,4,10,95.378
2,Saudi Arabia,Ferrari,BEA,4,11,95.645
2,Saudi Arabia,Haas,MAG,4,12,95.367
2,Saudi Arabia,Williams,ALB,4,13,95.553
2,Saudi Arabia,Haas,HUL,4,14,96.231
2,Saudi Arabia,Racing Bulls,RIC,4,15,96.271
2,Saudi Arabia,Alpine,OCO,4,16,96.261
2,Saudi Arabia,Kick Sauber,BOT,4,17,96.417
2,Saudi Arabia,Williams,SAR,4,18,96.544
2,Saudi Arabia,Kick Sauber,ZHO,4,19,96.526
1,Bahrain,Red Bull,VER,54,1,95.334
1,Bahrain,Red Bull,PER,54,2,95.459
1,Bahrain,Ferrari,SAI,54,3,95.309
1,Bahrain,Ferrari,LEC,54,4,95.265
1,Bahrain,Mercedes,RUS,54,5,96.013
1,Bahrain,McLaren,NOR,54,6,95.934
1,Bahrain,Mercedes,HAM,54,7,95.974
1,Bahrain,McLaren,PIA,54,8,96.107
1,Bahrain,Aston Martin,ALO,54,9,95.745
1,Bahrain,Aston Martin,STR,54,10,96.693
1,Bahrain,Kick Sauber,ZHO,54,11,98.389
1,Bahrain,Haas,MAG,54,12,96.89
1,Bahrain,Racing Bulls,RIC,54,13,96.661
1,Bahrain,Racing Bulls,TSU,54,14,96.672
1,Bahrain,Williams,ALB,54,15,96.334
1,Bahrain,Haas,HUL,54,16,95.786
1,Bahrain,Alpine,OCO,54,17,98.707
1,Bahrain,Alpine,GAS,54,18,95.853
1,Bahrain,Kick Sauber,BOT,54,19,97.095
1,Bahrain,Williams,SAR,54,20,99.614
1,Bahrain,Red Bull,VER,28,1,95.477
1,Bahrain,Red Bull,PER,28,2,96.226
1,Bahrain,Ferrari,SAI,28,3,96.534
1,Bahrain,Mercedes,RUS,28,4,96.911
